days_ago,postdate,post_date,title,description,bloggername,link,query,source
0.0,20260114,2026-01-14,"출시 예정인 두쫀쿠로 만든 투썸 두바이 케이크, 먹으면 안... ",<b>요즘</b> 디저트 쪽 분위기 보면 두쫀쿠라는 말이 거의 기본 옵션처럼 붙죠 두툼하고 쫀득하고 한 입만... 찬 <b>음식</b> 먹으면 속부터 반응 오는 사람 밀도 높은 초콜릿 케이크에 차가운 상태까지 더해지면 위장이 바로... ,마음건강 연구소,https://blog.naver.com/betelling/224146003317,요즘 유행 음식,naver_blog
0.0,20260114,2026-01-14,인천 두쫀쿠 맛집 파는곳 실제로 3개 구매 후기,도 많이 있던 것 같더라구여 ~ <b>요즘</b> 가장 <b>핫한 디저트</b> 입니당 ~ 수많은 연예인들이 먹어보기도 하고 언급하기도 하고 해서 더 유명해졌어요 처음에는 정말 구매하는 곳이 많이 없어가지고 구매하기 정말... ,비더뮤즈,https://blog.naver.com/bethemuse23/224143678533,요즘 핫한 디저트,naver_blog
0.0,20260114,2026-01-14,"두바이 쫀득쿠키 영양 정보 칼로리, 살 안 찌고 건강하게... ","<b>요즘</b> SNS에서 가장 <b>핫한 디저트</b> 중 하나인 두바이 쫀득쿠키, 줄여서 '두쫀쿠'! 바삭한 카다이프와 고소한 피스타치오 스프레드가 쫀득한 쿠키 안에 가득 들어있어 그 맛에 반해 자꾸만 손이 가시죠? 하지만... ",비타랑 건강생활,https://blog.naver.com/bknms2007/224146000274,요즘 핫한 디저트,naver_blog
0.0,20260114,2026-01-14,[합정역 카페] 네이버 예약으로 성공한 두바이쫀득쿠키 후기... ,BOM의 찐 후기 한 줄 평 <b>요즘</b> 가장 <b>핫한 디저트</b>라면 단연 두바이 초콜릿 시리즈가 아닐까 싶다. 그중에서도 특히!!!! 꾸덕하고 쫀득한 식감으로 유명한 두바이쫀득쿠키(두쫀쿠)를 드디어 손에 넣었다! 퇴근까지... ,"Bliss Of me, 나의 행복기록",https://blog.naver.com/blissofme_/224145514543,요즘 핫한 디저트,naver_blog
0.0,20260114,2026-01-14,강릉 두바이쫀득쿠키 맛집 ‘파인파인’｜팽쫀쿠에 반해 하루... ,"강릉 여행 중 놓치면 아쉬운 <b>디저트</b> 코스가 있다면, 바로 ‘두바이쫀득쿠키(두쫀쿠)’ 맛집 탐방이죠. 특히 <b>요즘</b> SNS에서 <b>핫한</b> 강릉의 쫀득쿠키 카페 **‘파인파인(PINE FINE)’**은 단순히 예쁜 카페가 아니라, 한... ",똘똘이스머프의 세상밖으로,https://blog.naver.com/brainy_smurf/224145826313,요즘 핫한 디저트,naver_blog
0.0,20260114,2026-01-14,생방송 대한민국 1월 14일 두바이 쫀득 쿠키’ &amp; 말차,"✅ 없어서 못 파는 '두바이 쫀득 쿠키' 하루에 600개를 만들어도 문을 열자마자 3~40분 만에 매진된다는 전설의 <b>디저트</b>! <b>요즘</b> SNS에서 가장 <b>핫한</b> 두바이 쿠키입니다. 방송에서는 단순히 사 먹는 것을 넘어, 직접... ",bummkid,https://blog.naver.com/bummkid/224145839934,요즘 핫한 디저트,naver_blog
0.0,20260114,2026-01-14,용인 두쫀쿠 맛집 브레드랩 오픈런 후기,<b>요즘 핫한</b> 두바이 쫀득쿠키(두쫀쿠) 찾는 분들 많죠. 용인에서 두쫀쿠로 유명한 브레드랩에... #용인브레드랩 #용인두쫀쿠 #두쫀쿠 #두바이쫀득쿠키 #브레드랩 #용인빵집 #용인맛집 #두쫀쿠맛집 #용인<b>디저트</b>... ,나뚱이와 일상,https://blog.naver.com/c_log_2016/224145672504,요즘 핫한 디저트,naver_blog
0.0,20260114,2026-01-14,플루엣 송파본점에서 문정동의 브런치 천국 탐방하기... ,"오늘은 문정동에서 <b>핫한</b> 맛집, 플루엣 송파본점을 소개해 드릴게요 <b>요즘</b> 브런치가 너무 땡겨서... 브런치와 함께하는 스위트 소소한 즐거움 브런치를 마친 후에는 <b>디저트</b>로 가볍게 소금빵과 함께 커피 한 잔씩... ",시선 워홀,https://blog.naver.com/ccriizcp641469s/224145881752,요즘 핫한 디저트,naver_blog
0.0,20260114,2026-01-14,"신동엽 맛집으로 알려진 강남 청국장서갈비, 이름보다 <b>음식</b>이... ","그런 의미에서 강남 청국장서갈비는 <b>요즘</b> 강남에서 오히려 더 귀하게 느껴지는 밥집이었다. 주소 : 서울... 이런 집은 <b>유행</b>을 타지 않고 오래 남는다. 강남이라는 지역 특성상 화려한 <b>음식</b>점이 많지만, 오히려... ",chichi_00_,https://blog.naver.com/chichi_00_/224145903268,요즘 유행 음식,naver_blog
0.0,20260114,2026-01-14,[cu <b>신상</b>] 연세우유 딸기 생크림빵 내돈내산 후기(딸기우유맛... ,#cu디저트<b>신상</b> #연세우유생크림빵 #연세우유딸기생크림빵 #<b>편의점신상</b> #딸기 가격: 2900원 칼로리: 480kcal 감기몸살 낫자마자 바로 <b>먹방</b> 갈깁니다. 렛츠고. 연세우유 시리즈 크림빵의 저 빤딱한 비주얼!!!... ,우당탕탕 but 어찌저찌 굴러가는 먹보의 일기,https://blog.naver.com/chseeeo8044/224145961529,편의점 신상 먹방,naver_blog
